"emp_id","last_name","first_name","team","team_lead"
67001515,"Mouse","Mickey","Tier 3","Armando Lagablab"
67001701,"Picasso","Elsa","Tier 3","Armando Lagablab"
67001441,"Beethoven","Naruto","Tier 3","Armando Lagablab"
67001199,"Starr","Patrick","Tier 3","Armando Lagablab"
67001474,"Mozart","Batman","Tier 3","Armando Lagablab"
67001211,"Monet","Ariel","Tier 3","Armando Lagablab"
67001579,"Rembrandt","Goku","Tier 3","Armando Lagablab"
67001630,"Beethoven","Shrek","Tier 3","Armando Lagablab"
67001245,"Dali","Homer","Tier 3","Armando Lagablab"
67001798,"Michelangelo","Simba","Tier 3","Armando Lagablab"
67001144,"Kahlo","Dora","Projects","Annie Batumbacal"
67001858,"Banksy","Woody","Projects","Annie Batumbacal"
67001404,"Warhol","Buzz","Projects","Annie Batumbacal"
67001179,"Hendrix","Tom","Projects","Annie Batumbacal"
67001769,"Cobain","Jerry","Projects","Annie Batumbacal"
67001994,"Lennon","Scooby","Projects","Annie Batumbacal"
67001936,"Mercury","Fred","Projects","Annie Batumbacal"
67001717,"Swift","Velma","Projects","Annie Batumbacal"
67001881,"Drake","Shaggy","Projects","Annie Batumbacal"
67001842,"Eminem","Pikachu","Projects","Annie Batumbacal"
67001538,"Bowie","Ash","Small","Taylor Swift"
67001392,"Prince","Luffy","Small","Taylor Swift"
67001338,"Elvis","Zoro","Small","Taylor Swift"
67001783,"Rihanna","Nami","Small","Taylor Swift"
67001979,"Adele","Usopp","Small","Taylor Swift"
67001297,"Weeknd","Sanji","Small","Taylor Swift"
67001865,"Hiluten","Paris","Small","Taylor Swift"
67001186,"Bruno","Thor","Small","Taylor Swift"
67001457,"Mars","Hulk","Small","Taylor Swift"
67001117,"Sheeran","Loki","Small","Taylor Swift"
67001491,"Gaga","Wonder","National","Agapito Strikeland"
67001517,"Timberlake","Flash","National","Agapito Strikeland"
67001451,"Bieber","Superman","National","Agapito Strikeland"
67001215,"Styles","Joker","National","Agapito Strikeland"
67001882,"Grande","Harley","National","Agapito Strikeland"
67001502,"Ocean","Deadpool","National","Agapito Strikeland"
67001240,"Perry","Wolverine","National","Agapito Strikeland"
67001177,"Clapton","Minion","National","Agapito Strikeland"
67001645,"Santana","Gru","National","Agapito Strikeland"
67001781,"Sinatra","Po","National","Agapito Strikeland"
67001921,"Sia","Tigress","Interstate","Elaine Corfish"
67002001,"Liner","Jack","Interstate","Elaine Corfish"
67001148,"Khalid","Aladdin","Interstate","Elaine Corfish"
67001855,"Drake","Genie","Interstate","Elaine Corfish"
67001270,"Legend","Hercules","Interstate","Elaine Corfish"
67001978,"Keys","Megara","Interstate","Elaine Corfish"
67001847,"Cyrus","Rapunzel","Interstate","Elaine Corfish"
67001795,"Mendes","Flynn","Interstate","Elaine Corfish"
67001246,"Rodrigo","Moana","Interstate","Elaine Corfish"
67001920,"Nas","Maui","Interstate","Elaine Corfish"
