"employee_name","team_lead","masked_emp_id","total_transactions","avg_quality_score","quality_audit_count","adherence_count","compliance_violations","counted_absences","productivity_weighted","quality_weighted","adherence_weighted","compliance_weighted","attendance_weighted","final_score","overall_rank","bonus_status"
"Flash Timberlake","Agapito Strikeland","670*****","1274","82.20","5","3","0","1","25.50","16.44","17.00",20,"9.50","88.44","1","Eligible"
"Mickey Mouse","Armando Lagablab","670*****","1215","78.80","5","2","0","1","24.00","15.76","18.00",20,"9.50","87.26","2","Eligible"
"Joker Styles","Agapito Strikeland","670*****","1160","85.20","5","3","0","1","22.50","17.04","17.00",20,"9.50","86.04","3","Eligible"
"Po Sinatra","Agapito Strikeland","670*****","1264","82.60","5","6","0","1","25.50","16.52","14.00",20,"9.50","85.52","4","Eligible"
"Wolverine Perry","Agapito Strikeland","670*****","1002","85.40","5","4","0","1","19.50","17.08","16.00",20,"9.50","82.08","5","Not Eligible"
"Naruto Beethoven","Armando Lagablab","670*****","1016","86.80","5","5","0","0","19.50","17.36","15.00",20,"10.00","81.86","6","Not Eligible"
"Shrek Beethoven","Armando Lagablab","670*****","1044","79.80","5","3","0","2","19.50","15.96","17.00",20,"9.00","81.46","7","Not Eligible"
"Fred Mercury","Annie Batumbacal","670*****","1042","81.20","5","4","0","1","19.50","16.24","16.00",20,"9.50","81.24","8","Not Eligible"
"Loki Sheeran","Taylor Swift","670*****","1039","86.80","5","5","0","2","19.50","17.36","15.00",20,"9.00","80.86","9","Not Eligible"
"Simba Michelangelo","Armando Lagablab","670*****","1188","85.20","5","9","0","1","22.50","17.04","0.00",20,"9.50","69.04","10","Not Eligible"
"Hercules Legend","Elaine Corfish","670*****","1295","88.40","5","4","1","1","25.50","17.68","16.00",0,"9.50","68.68","11","Not Eligible"
"Gru Santana","Agapito Strikeland","670*****","1293","78.00","5","4","1","0","25.50","15.60","16.00",0,"10.00","67.10","12","Not Eligible"
"Tigress Sia","Elaine Corfish","670*****","1194","83.40","5","2","1","1","22.50","16.68","18.00",0,"9.50","66.68","13","Not Eligible"
"Jack Liner","Elaine Corfish","670*****","1038","89.60","5","8","0","2","19.50","17.92","0.00",20,"9.00","66.42","14","Not Eligible"
"Superman Bieber","Agapito Strikeland","670*****","1167","79.40","5","2","1","0","22.50","15.88","18.00",0,"10.00","66.38","15","Not Eligible"
"Harley Grande","Agapito Strikeland","670*****","1136","94.20","5","3","1","1","21.00","18.84","17.00",0,"9.50","66.34","16","Not Eligible"
"Pikachu Eminem","Annie Batumbacal","670*****","1249","81.00","5","4","1","0","24.00","16.20","16.00",0,"10.00","66.20","17","Not Eligible"
"Goku Rembrandt","Armando Lagablab","670*****","1107","78.20","5","10","0","2","21.00","15.64","0.00",20,"9.00","65.64","18","Not Eligible"
"Luffy Prince","Taylor Swift","670*****","1012","91.40","5","2","1","1","19.50","18.28","18.00",0,"9.50","65.28","19","Not Eligible"
"Scooby Lennon","Annie Batumbacal","670*****","1153","86.00","5","5","1","0","22.50","17.20","15.00",0,"10.00","64.70","20","Not Eligible"
"Dora Kahlo","Annie Batumbacal","670*****","1142","84.00","5","3","1","1","21.00","16.80","17.00",0,"9.50","64.30","21","Not Eligible"
"Jerry Cobain","Annie Batumbacal","670*****","881","86.20","5","2","0","2","0.00","17.24","18.00",20,"9.00","64.24","22","Not Eligible"
