"employee_name","team_lead","productivity_weighted","quality_weighted","attendance_weighted","compliance_weighted","final_score"
"Homer Dali","Armando Lagablab","19.50","16.60","9.50",0,"60.60"
"Ariel Monet","Armando Lagablab","0.00","16.60","9.00",20,"62.60"
"Velma Swift","Annie Batumbacal","22.50","16.92","9.00",0,"48.42"
"Wonder Gaga","Agapito Strikeland","0.00","17.80","9.00",20,"63.80"
"Pikachu Eminem","Annie Batumbacal","24.00","16.20","10.00",0,"66.20"
"Paris Hiluten","Taylor Swift","19.50","17.28","8.50",0,"59.28"
"Batman Mozart","Armando Lagablab","0.00","17.72","10.00",0,"45.72"
"Luffy Prince","Taylor Swift","19.50","18.28","9.50",0,"65.28"
"Sanji Weeknd","Taylor Swift","0.00","17.84","9.00",0,"26.84"
"Shaggy Drake","Annie Batumbacal","0.00","15.92","9.50",20,"63.42"
"Dora Kahlo","Annie Batumbacal","21.00","16.80","9.50",0,"64.30"
"Woody Banksy","Annie Batumbacal","0.00","15.80","10.00",20,"62.80"
"Tigress Sia","Elaine Corfish","22.50","16.68","9.50",0,"66.68"
"Zoro Elvis","Taylor Swift","0.00","16.88","9.00",0,"41.88"
"Elsa Picasso","Armando Lagablab","22.50","17.20","10.00",0,"63.70"
"Maui Nas","Elaine Corfish","0.00","17.68","8.50",20,"46.18"
"Moana Rodrigo","Elaine Corfish","19.50","15.56","9.00",0,"62.06"
"Tom Hendrix","Annie Batumbacal","0.00","16.00","10.00",0,"43.00"
"Naruto Beethoven","Armando Lagablab","19.50","17.36","10.00",20,"81.86"
"Aladdin Khalid","Elaine Corfish","0.00","17.16","10.00",0,"42.16"
"Ash Bowie","Taylor Swift","0.00","17.96","9.50",0,"45.46"
"Jerry Cobain","Annie Batumbacal","0.00","17.24","9.00",20,"64.24"
"Goku Rembrandt","Armando Lagablab","21.00","15.64","9.00",20,"65.64"
"Simba Michelangelo","Armando Lagablab","22.50","17.04","9.50",20,"69.04"
"Buzz Warhol","Annie Batumbacal","0.00","16.48","10.00",20,"46.48"
"Deadpool Ocean","Agapito Strikeland","0.00","16.32","9.50",20,"61.82"
"Hulk Mars","Taylor Swift","0.00","17.00","9.00",0,"41.00"
"Hercules Legend","Elaine Corfish","25.50","17.68","9.50",0,"68.68"
"Shrek Beethoven","Armando Lagablab","19.50","15.96","9.00",20,"81.46"
"Thor Bruno","Taylor Swift","22.50","15.68","10.00",0,"64.18"
"Genie Drake","Elaine Corfish","0.00","16.48","9.00",20,"63.48"
"Rapunzel Cyrus","Elaine Corfish","0.00","18.80","10.00",20,"48.80"
"Scooby Lennon","Annie Batumbacal","22.50","17.20","10.00",0,"64.70"
"Nami Rihanna","Taylor Swift","0.00","16.96","9.50",0,"42.46"
"Usopp Adele","Taylor Swift","0.00","17.44","9.50",0,"40.94"
"Minion Clapton","Agapito Strikeland","0.00","17.88","10.00",0,"43.88"
"Jack Liner","Elaine Corfish","19.50","17.92","9.00",20,"66.42"
"Gru Santana","Agapito Strikeland","25.50","15.60","10.00",0,"67.10"
"Patrick Starr","Armando Lagablab","19.50","17.92","10.00",0,"63.42"
"Fred Mercury","Annie Batumbacal","19.50","16.24","9.50",20,"81.24"
"Po Sinatra","Agapito Strikeland","25.50","16.52","9.50",20,"85.52"
"Harley Grande","Agapito Strikeland","21.00","18.84","9.50",0,"66.34"
"Wolverine Perry","Agapito Strikeland","19.50","17.08","9.50",20,"82.08"
"Megara Keys","Elaine Corfish","0.00","17.20","9.00",0,"40.20"
"Mickey Mouse","Armando Lagablab","24.00","15.76","9.50",20,"87.26"
"Flash Timberlake","Agapito Strikeland","25.50","16.44","9.50",20,"88.44"
"Loki Sheeran","Taylor Swift","19.50","17.36","9.00",20,"80.86"
"Joker Styles","Agapito Strikeland","22.50","17.04","9.50",20,"86.04"
"Flynn Mendes","Elaine Corfish","0.00","16.24","9.50",20,"61.74"
"Superman Bieber","Agapito Strikeland","22.50","15.88","10.00",0,"66.38"
